highly,"크게, 대단히, 매우"
superior,우월한; 상급의
playmate,놀이 친구
skilled at,~에 능숙한
retain,유지하다
distraction,집중을 방해하는 것; 기분 전환
distract,산만하게 하다
engage in,"~에 참여하다, 관여하다"
at hand,당면한
contrasting,대조적인
age-specific,연령에 한정된
numeral,숫자
individual,사람; 개인
extremely,극도로
proof,증거(물); 입증
lie detector,거짓말 탐지기
encounter,"접하다, 마주치다"
authority,권위; 권한
mood disorder,감정 장애
intelligence,지성; 지능
chronic,만성적인
boost,"격려, (신장시키는) 힘"
participate in,~에 참가하다
automatic,자동적으로 따라오는; 무의식적인
socialize,"사회화시키다; 사귀다, 교제하다"
discrimination,차별
visible,눈에 보이는; 가시적인
down the road,미래에
mistakenly,잘못하여
satisfy,충족시키다
degree,학위
diploma,졸업장
become accustomed to A,A하는 데 익숙해지다
indecision,우유부단함; 망설임
pile,"더미, 쌓아놓은 것; 쌓아놓다"
assure,확실히 ~라고 말하다; 보장하다
be better off v-ing,v하는 것이 (마음이나 처지가) 더 좋다[낫다]
due to,~에 기인하는
momentum,가속도; 운동량
concerns,"걱정, 염려"
likely,그럴듯한; ~할 것 같은
confront,"직면하다, 맞서다"
externalize,표면화하다
briefly,간단히
fundraising,"모금, 기금 모집"
student center,학생회관
hold,(시합 등을) 개최하다
competition,대회; 경쟁
entry,"출전, 응모(작)"
fee,요금; 수수료
place a[no] limit on,~에 제한을 두다[두지 않다]
encourage,장려하다; 격려하다
multiple,다수의
submission,제출(물)
bring in,(이익을) 가져오다
innately,"선천적으로, 타고나서"
biological,"생물학의, 생물체의"
clue,단서
accident,우연; 사고
streamlined,유선형의
fin,지느러미
structurally,"구조적으로, 구조상"
adapted for,"~에 알맞은, 적당한"
mosquito,모기
mode,"방식, 유형"
transport,"이동, 수송"
over-optimistic,지나치게 낙관적인
extent,"정도, 규모"
vary,"다르다, 가지각색이다"
tremendously,"굉장하게, 엄청나게"
weave,"(직물 등을) 짜다, (거미가 집을) 얽다"
web,거미집
strand,한 가닥의 실
hindrance,방해
spin,"(거미가) 실을 내다, 거미집을 짓다"
unit3,
store,저장하다
medication,"약, 약물"
ineffective,효과 없는
emergency,비상사태
arise,"발생하다, 생기다"
cabin crew,승무원
prefer A to B,B보다 A를 선호하다
the last thing,가장 하기 싫은 일
highly,매우
society,협회
on the basis of,"~을 기반으로, 토대로"
mentally,정신적으로
fit,건강한
companionship,우정
exploration,탐사
virtue,장점
self-image,자아상(= self-concept)
inspire,"고무하다, 격려하다"
approval,인정; 찬성
addict,중독자
dependent,"의존하는, 의존적인"
resist,거부하다; 저항하다
expectation,"기대, 예상"
long-term,장기적인
weight,역기
blink,눈을 깜빡이다
portion,"부분, 일부"
masterpiece,"걸작, 명작"
reject,"거절하다, 거부하다"
in terms of,"~ 면에서, ~에 관하여"
evoke,"(감정·기억 등을) 떠올려 주다, 환기시키다"
associate A with B,A를 B와 연관시키다
enhance,"(좋은 점을) 높이다, 향상시키다"
occasion,"(어떤 일이 일어나는) 때, 경우"
take precedence over,"~보다 우선하다, 우위에 서다"
identify with,~와 동일시하다
differentiation,"차별(화), 구별"
fierce,"(경쟁이) 치열한; 사나운, 맹렬한"
literacy,글을 읽고 쓰는 능력
crash,충돌하다; 박살나다
statement,진술
come up with,"~을 내놓다, 생각해내다"
shrink,"수축하다, 줄어들다"
restless,"초조해하는, 가만히 못 있는"
forgetful,"건망증이 있는, 잘 잊어버리는"
blade,(칼 등의) 날
wind tower,풍력 발전기
enable,"할 수 있게 하다, 가능하게 하다"
electrical,전기의
generator,발전기
telescope,망원경
naked,"맨눈의, 육안의"
definitely,절대; 분명히
prejudice,편견
the better part of,~의 대부분
ethical,윤리적인
paperwork,서류작업
disorganized,무질서한
tidy,단정한
symbolize,상징하다
priority,우선순위
accompanying,수반하는
eliminate,제거하다
superior,"윗사람, 상관"
peer,"동등한 사람, 동료"
subordinate,"부하, 하급자"
conclude,결론을 내리다
fade,"서서히 사라지다, 희미해지다"
motivation,"동기부여, 자극"
wisdom teeth,사랑니
infected,감염된
untrained,훈련되지 않은
go through,~을 행하다
locker room,탈의실
sharpen,"갈다, 날카롭게 하다"
inflate,부풀리다
caloric,칼로리의
deficit,"결핍, 부족"
mass,질량; 큰 덩어리
take A seriously,A를 심각하게 받아들이다
startled,깜짝 놀란
presence,존재
spotlight,"환한 조명, 스포트라이트"
sweep,스치다; 휩쓸다
content,"pl. 내용물, 안에 든 것"
silvery,은빛의
awaken,"(잠에서) 깨다, 깨우다"
rob,"(장소를) 털다, 강도질을 하다"
in possession of,~을 소유하여
pound,쿵쿵 뛰다
approach,다가오다
would-be,장차 ~이 되려고 하는
driveway,(도로에서 집·차고까지의) 진입로
inclination,좋아하는 것; 성향
in accord with,"~와 일치하는, 조화되는"
assault,~을 공격하다
surpass,"~을 능가하다, 뛰어넘다"
all things being equal,모든 조건이 같다면
shed,(원하지 않는 것을) 없애다[버리다]
excess,"초과[량], 과잉"
be in conflict with,"~와 충돌하다, 싸우다"
culinary,음식[요리]의
hinder A from v-ing,A가 ~하는 것을 방해하다
intensity,강도; 강렬(함)
deep end,(수영장 등의) 수심이 깊은 곳[쪽]
sweaty,"땀에 젖은, 땀이 나서 축축한"
back down,포기하다; 후퇴하다
make A’s stomach turn,A의 속을 메스껍게 만들다; A의 기분을 나쁘게 하다
swallow hard,침을 삼키다
in an instant,"순식간에; 곧, 당장"
edge,가장자리; 모서리
grin,(소리 없이) 활짝[크게] 웃음
management,관리; 운영
fulfill,"책임을 다하다, 이행하다"
