expert,"전문가; 전문가의, 전문적인; 능숙한, 숙련된"
potential,"잠재력, 가능성; 잠재적인; 가능성 있는"
risk,위험(성); 모험; 위태롭게 하다
expense,"비용, 지출; 경비"
crash,충돌; 추락; 충돌하다; (비행기가) 추락하다
victim,"(전쟁, 사고 등의) 피해자, 희생자"
fault,"1. 잘못 2. (과실의) 책임 3. 단점, 결점; 결함"
boundary,"1. 경계(선) 2. 한계, 한도"
depth,깊이; 심도
surface,"1. 표면; 수면, 지면 2. 겉, 외관; 1. (수면으로) 떠오르다 2. (겉으로) 드러나다, 표면화되다"
row,"(늘어서 있는) 줄, 열; (배를 노로) 젓다"
horror,공포(감)
curiosity,호기심
novel,"(장편) 소설; 새로운, 신기한"
delight,"기쁨, 즐거움; 기쁘게 하다"
sympathy,"1. 동정, 연민 2. 동조, 지지"
loyalty,"충실, 충성; 충성심"
welfare,"행복, 안녕(安寧); 복지"
policy,"1. 정책, 방침 2. 방책, 수단"
neighborhood,"근처, 인근; 이웃 사람들"
companion,1. 친구; 동료 2. 동반자; 동행
opponent,(대회 등의) 상대; 반대자
unit5,
available,"1. 이용할 수 있는, 구할 수 있는 2. (만날) 시간이 있는"
practical,실용적인; 현실적인
average,"1. 평균의 2. 보통의, 일반적인; 1. 평균 2. 보통"
alike,비슷한; 비슷하게; 동등하게
previous,이전의
former,"1. 예전의, 과거의 2. (둘 중에) 먼저의, 전자의; ((the -)) 전자"
absent,"1. 결석한; 없는, 부재의 2. 멍한"
familiar,"익숙한, 친숙한"
obvious,"분명한, 명백한"
exact,정확한; 정밀한
aware,"알고 있는, 알아차린"
notable,"1. 주목할 만한, 눈에 띄는 2. 유명한"
odd,1. 이상한 2. 홀수의 3. 짝이 맞지 않는
due,"1. ~로 인한, ~ 때문에 2. ~하기로 예정된 3. (돈을) 지불해야 하는"
annual,"1. 연례의, 매년의 2. 연간의, 한 해의"
urgent,"긴급한; 다급한, 절박한"
likely,~할 것 같은; 가능성 있는
capable,1. ~할 수 있는 2. 유능한
eager,간절히 바라는; 열성적인
firm,"1. 딱딱한, 단단한 2. 단호한, 확고한; 회사"
stable,안정된; 차분한
mature,"성숙한; 다 자란, (과일 등이) 익은"
mortal,1. 영원히 살 수 없는 2. 치명적인
deadly,1. 치명적인 2. 완전한; 극도의
strict,엄격한; 엄밀한
grateful,"감사하는, 고맙게 여기는"
intimate,"친밀한, 절친한"
terrific,"1. 아주 좋은, 훌륭한 2. (양, 정도가) 엄청난"
incredible,"믿을 수 없는, 놀라운"
fancy,"1. 화려한, 장식이 많은 2. 값비싼; 일류의; 공상"
unit6,
entire,"전체의; 완전한, 온전한"
broad,"1. (폭)넓은 2. 전반적인, 대체적인"
brief,"1. (시간이) 짧은, 잠시 동안의 2. (말, 글이) 간단한"
temporary,"일시적인, 순간의; 임시의"
frequent,"자주 일어나는, 빈번한"
random,"무작위의, 임의로 하는"
infinite,"무한한, 무한정의"
initial,"처음의; (이름 등의) 머리글자, 첫 글자"
valuable,"1. 소중한, 귀중한 2. 값비싼"
cautious,"조심하는, 신중한"
consistent,"1. 일관된, 한결같은 2. 일치하는"
efficient,"효율적인, 능률적인"
suitable,"적합한, 어울리는"
absolute,1. 완전한 2. 절대적인
adequate,"충분한, 적절한"
intermediate,1. 중간의 2. 중급의; 중급자
precious,"1. 귀중한, 값비싼 2. 소중한"
major,"주된, 중요한; 전공; 전공하다"
corporate,"1. 기업의, 회사의; 법인의 2. 공동의"
private,개인 소유의; 사적인
urban,도시의
contrary,(~와는) 반대되는; 반대
single,1. 단 하나의; 1인용의 2. 독신인; 미혼의
solo,"1. 혼자서 하는, 단독의 2. 독주의; 독주(곡), 독창(곡)"
equal,"1. 동일한 2. 평등한; 대등한 것[사람]; 같다, 필적하다"
conservative,보수적인; 보수주의의
classic,"1. 일류의, 최고의 2. 전형적인 3. (스타일이) 고전적인, 유행을 안 타는; 1. 고전, 명작 2. 전형적인 것"
typical,"전형적인, 대표적인"
unique,"1. 독특한; 유일무이한 2. 고유의, 특유의"
particular,"1. 특정한 2. 특별한, 각별한"
unit7,
behave,1. 행동하다 2. 예의 바르게 행동하다
approach,"다가오다[가다], 접근하다; 접근(법)"
transfer,"1. 이동하다; 전학하다 2. 환승하다, 갈아타다; 1. 이동; 전학 2. 환승"
sink,"가라앉다, 가라앉히다; 싱크대, 개수대"
swing,"(앞뒤, 좌우로) 흔들다, 흔들리다; 1. 흔들림 2. 그네"
bounce,"튀어 오르다, 튀다; 뛰어 오르다"
burst,"1. 터지다, 파열하다 2. 갑자기 ~하다; 파열, 폭발"
slip,미끄러지다; 1. 미끄러짐 2. (작은) 실수
drag,"(질질) 끌다, 끌리다; 끌기"
bend,"굽히다, 구부러지다"
attach,"붙이다, 첨부하다"
capture,1. 붙잡다 2. (관심을) 사로잡다 3. (사진 등으로) 담아내다; 캡처하다; 1. 포획 2. 캡처
pack,(짐을) 싸다; (물건을) 포장하다; 포장 꾸러미; 배낭
wrap,"포장하다, 싸다; 포장지"
fold,1. (종이나 천 등을) 접다 2. 감싸다
twist,"1. 비틀다, 구부리다 2. (사실을) 왜곡하다; 1. 비틀기 2. (예상 밖의) 전개, 전환"
spill,"쏟다, 흘리다; 엎지름; 유출(물)"
peel,"(껍질을) 벗기다; (과일, 채소의) 껍질"
blend,"1. 섞다, 혼합하다 2. 섞이다; 혼합(물)"
dye,염색하다; 염료
toss,(가볍게) 던지다
bury,"묻다, 매장하다"
trap,"1. 덫으로 잡다, 함정에 빠뜨리다 2. (위험한 장소에) 가두다; 덫, 함정"
convey,"1. 운반하다, 수송하다 2. 전달하다"
load,"(짐을) 싣다; 짐, 화물"
scratch,긁다; 할퀴다; 긁힌 자국; 찰과상
yell,"소리치다, 외치다; 외침"
yawn,하품하다; 하품
bang,"(쾅 소리가 나게) 치다, 닫다; (쾅 하는) 소리"
install,"설치하다, 설비하다"
unit8,
surround,"둘러싸다, 에워싸다"
resemble,"닮다, 유사하다"
consist,"1. (~로) 이루어져 있다, 구성되다 2. (~에) 있다, 존재하다"
decline,1. 감소하다 2. 거절하다; 감소
shorten,"줄이다, 짧아지다"
debate,토론하다; 논쟁하다; 토론; 논쟁
handle,"다루다, 처리하다; 손잡이"
shift,"1. 바꾸다, 바뀌다 2. (장소를) 이동하다; 1. 변화 2. 교대 근무 (시간)"
guarantee,"1. 보장하다, 장담하다 2. 품질 보증을 하다; 1. 보장 2. 보증서"
resist,"1. 저항하다, 반대하다 2. (하고 싶은 것을 하지 않고) 참다, 견디다 3. (손상 등에) 잘 견디다, 강하다"
recover,(건강 등을) 회복하다; (손실 등을) 되찾다
maintain,"1. 유지하다, 지속하다 2. 주장하다"
deserve,(마땅히) ~을 받을 만하다; 가치가 있다
bet,"1. (내기 등에) 돈을 걸다 2. 틀림없다, 분명하다; 내기"
monitor,"관찰하다; 감독하다, 감시하다; 화면, 모니터"
ruin,"망치다; 파괴하다; 1. 유적, 폐허 2. 붕괴"
cheat,"(시험 등에서) 부정행위를 하다; 속이다, 사기 치다"
calculate,"1. 계산하다 2. 추정하다, 추산하다"
estimate,"추정하다, 추산하다; 추정, 추산"
evaluate,"(가치, 품질 등을) 평가하다, 감정하다"
highlight,"강조하다; (사건, 이야기 등의) 주요 부분, 하이라이트"
confirm,"1. (예약, 약속 등을) 확인하다, 확정하다 2. 사실임을 보여주다"
satisfy,만족시키다
bother,"1. 귀찮게 하다 2. 신경 쓰다, 일부러 ~하다"
terrify,"(몹시) 무섭게 하다, 겁먹게 하다"
disappoint,"실망시키다, 낙담시키다"
regret,1. 후회하다 2. 유감으로 생각하다; 1. 후회 2. 유감
admire,1. 존경하다; 칭찬하다 2. 감탄하다
adore,"매우 좋아하다, 사랑하다"
blame,"탓하다, (~의) 책임으로 보다; 탓, 책임"
unit9,
community,"(공통의 특징을 가진) 공동체; 지역 사회, 주민"
material,"1. 재료, 원료 2. (책 등의) 소재, 자료; 1. 물질의, 물리적인 2. 물질적인, 세속적인"
region,"1. 지역, 지방 2. (신체의) 부분"
edge,"1. 가장자리, 모서리 2. (칼 등의) 날 3. 우위, 유리함"
length,"1. 길이 2. 시간, 기간"
plenty,"많음, 풍부함; 풍부한 양"
room,"1. 방, -실(室) 2. 공간, 자리 3. 여지"
accident,"1. (자동차) 사고 2. 우연, 우연한 일"
share,"1. 몫 2. 주식; 지분; 1. 함께 쓰다, 공유하다 2. 나누다"
capital,1. (나라의) 수도 2. 대문자 3. 자본(금); 자산; 1. 주요한 2. 대문자의 3. 자본의 4. 사형의
citizen,시민; 국민
acquaintance,"1. 지인, 아는 사람; 친분 2. 지식"
colleague,(직업상의) 동료
company,"1. 회사 2. 친구; 일행 3. 함께 있음, 동반"
branch,"1. 나뭇가지 2. 분점, 지사"
function,"기능, 작용; 역할; 1. 기능하다 2. (기계가) 작동하다"
option,"1. 선택(권) 2. (제품, 기기 등의) 옵션, 선택 사양"
tag,꼬리표; 가격표; 꼬리표를 붙이다
license / licence,"면허(증), 자격(증); 허가; (공식적으로) 허가하다"
route,길; 노선; 항로
peak,"1. (산의) 꼭대기 2. 절정, 최고조; 절정의, 최고조의; 절정에 달하다"
curve,"곡선, 커브; 곡선을 이루다"
dozen,1. 12개 2. 다수; 상당히 많음
entry,"1. 입장, 들어감 2. 참가(자); 출품(작)"
fee,"1. 요금, 회비 2. (전문 서비스에 대한) 수수료"
drug,"1. 약(품) 2. (불법적인) 약물, 마약"
poison,독(약); 1. 독살하다 2. 오염시키다
dirt,"1. 먼지, 때 2. 흙"
element,"1. (구성) 요소, 성분 2. 원소"
balance,"1. 균형 (상태) 2. 잔고, 잔액 3. 저울"
unit10,
wild,"1. 야생의 2. 거친, 사나운"
sharp,"1. 날카로운, 예리한 2. (변화의 정도가) 급격한; 정각에"
tense,1. (사람이) 긴장한 2. (상황 등이) 긴박한
abstract,추상적인; 1. 추출하다 2. 요약하다
diverse,"다양한, 가지각색의"
enormous,"거대한, 엄청난"
grand,"1. 웅장한, 장대한 2. 원대한"
maximum,"최대의, 최고의; 최대, 최고"
convenient,편리한
mobile,"이동하는, 유동적인"
neat,"정돈된, 단정한; 깔끔한"
blank,"1. (글자 등이 없는) 빈 2. 멍한, 무표정한; 빈칸"
compact,"1. 소형의 2. (공간이) 작은; 조밀한, 촘촘한; 꽉 채우다, 압축하다"
awesome,경탄할 만한; 엄청난
costly,"1. 비용이 많이 드는, 값비싼 2. 대가가 큰"
chilly,"1. 쌀쌀한, 추운 2. 쌀쌀맞은"
dumb,"바보 같은, 멍청한"
delicate,"1. 정교한, 섬세한 2. 연약한, 여린"
active,적극적인; 활동적인
lively,"활발한, 활기 넘치는"
energetic,"활동적인, 활기에 찬"
dynamic,활발한; 역동적인
desperate,1. 간절히 원하는; 필사적인 2. 절망적인; 자포자기인
cruel,"잔인한, 잔혹한"
timid,소심한; 겁이 많은
sentimental,감정적인; 감상적인
thoughtful,1. 사려 깊은; 배려심 있는 2. 생각에 잠긴
tender,"1. 다정한, 상냥한 2. (음식이) 연한, 부드러운 3. 연약한"
